model,observed_spearman,permutations,one_sided_p,holm_p
bamboo_all,0.8925928327898225,10000,9.999000099990002e-05,0.0006999300069993001
bamboo_without_target_family,0.9088100926213317,10000,9.999000099990002e-05,0.0006999300069993001
bamboo_target_family_only,0.7142581401286179,10000,9.999000099990002e-05,0.0006999300069993001
calisol,0.7299646096844382,10000,9.999000099990002e-05,0.0006999300069993001
kit,0.7098725704723902,10000,9.999000099990002e-05,0.0006999300069993001
programme_balanced_portfolio,0.9178196814166149,10000,9.999000099990002e-05,0.0006999300069993001
programme_balanced_rank_consensus,0.8938594306816067,10000,9.999000099990002e-05,0.0006999300069993001
