file_id,archive_name,archive_bytes,archive_sha256,download_url,supplied_md5,serial_internal,serial,stage,lab,type,tp,cell,sampling,mapping_method,metadata_conflict_flags
47627050,TP_k01_01.zip,9946178,ffcd328738636f2ce0cd9239bdbf8466b48c169f240beac95260bc74a6c52b14,https://ndownloader.figshare.com/files/47627050,3a2da741d19ad5471e2b96ca4054fc1b,S001,TP_k01_01,1,SIE,k,1,1,FF,exact-archive-serial-plus-internal-serial,
47627053,TP_k02_05.zip,7168046,af8a2e3f00f7d9a7e8b8164cc4fad990db0609b841e52586a39c209297fe4d08,https://ndownloader.figshare.com/files/47627053,abeb348ce9347e2ee71a21051cca551a,S014,TP_k02_05,1,SIE,k,2,5,FF,exact-archive-serial-plus-internal-serial,
47627056,TP_k01_02.zip,9795321,412f526d1f4743639bb77fa92a95efdad4b74819050c77ebcb80e80480dbd6ba,https://ndownloader.figshare.com/files/47627056,f126e373466092897d4fa76d1c914444,S002,TP_k01_02,1,SIE,k,1,2,FF,exact-archive-serial-plus-internal-serial,
47627059,TP_k02_03.zip,9820203,1707ffa296571c88514a1787064f814d8b58c2b7e068cc743121d3b2d95609d6,https://ndownloader.figshare.com/files/47627059,b994b23efc2a1f9634ec69b9d6bdeea2,S006,TP_k02_03,1,SIE,k,2,3,FF,exact-archive-serial-plus-internal-serial,
47627062,TP_k02_04.zip,7142137,34d24d949e47abeccb540962147403d7eca086b9e7b6a9d018f2268a0383923c,https://ndownloader.figshare.com/files/47627062,a17f9e97f1e73a123f2aa672b9fe91dd,S013,TP_k02_04,1,SIE,k,2,4,FF,exact-archive-serial-plus-internal-serial,
47627068,TP_k01_03.zip,9672672,1351eec64b91152838e3d2a5700d4247ba9afc7c6a17acc167bc82b448702fef,https://ndownloader.figshare.com/files/47627068,e050f85b18113876be9a50e853ea9bb8,S003,TP_k01_03,1,SIE,k,1,3,FF,exact-archive-serial-plus-internal-serial,
47627071,TP_k03_04.zip,7231021,b280232b126896d218dc4cc167620d2ecfcccfb04a4c6bdd116181a70dfdb692,https://ndownloader.figshare.com/files/47627071,c1f22c6c367300619839802c39396f57,S016,TP_k03_04,1,SIE,k,3,4,FF,exact-archive-serial-plus-internal-serial,testpoint_metadata_conflict
47627074,TP_k03_05.zip,7175429,239651b482cb53eea5c3d88140fc6f64226f708e6ea424f97288874b3ed71160,https://ndownloader.figshare.com/files/47627074,7b56f4079ec413e4cd52312d3b3267f7,S017,TP_k03_05,1,SIE,k,3,5,FF,exact-archive-serial-plus-internal-serial,testpoint_metadata_conflict
47627080,TP_k02_06.zip,7052977,17e3bf02a90819f6219d8f2642f491a6e70b116f94d2036d954fcd831d602899,https://ndownloader.figshare.com/files/47627080,492b0d18604819b180f1525e2e575df4,S015,TP_k02_06,1,SIE,k,2,6,FF,exact-archive-serial-plus-internal-serial,
47627083,TP_k03_01.zip,9840630,8600901070da3054363360806bd1dbe976cb339a969ea137e0e6d4c2d619913d,https://ndownloader.figshare.com/files/47627083,cdbcecd11f9c60da11578d5a02ef6b23,S007,TP_k03_01,1,SIE,k,3,1,FF,exact-archive-serial-plus-internal-serial,
