seed,candidate,n,rmse,mae,r2,spearman_r,spearman_p,donor_median_baseline_rmse,relative_rmse_gain_over_donor_median
2026072901,experimental_text_mined,205,1.02073550113854,0.9476892222553059,-8.439146747643615,-0.41931029526305863,3.9073154858919433e-10,0.5709944043124218,-0.7876453664509829
2026072901,calibrated_hse,205,0.7245119419662521,0.6726227712070464,-3.755513237542785,0.1275426407306739,0.06839184828551693,0.5709944043124218,-0.2688599686693824
2026072901,support_weighted_fusion,205,1.0057279076120957,0.9327930495986971,-8.163624848588093,-0.4385055607368424,4.828147451490868e-11,0.5709944043124218,-0.7613621079582558
2026072901,retrieval_routed_fusion,205,1.0644513787932792,0.9737708957465496,-9.264976421487829,-0.35025572790803877,2.6292708511856566e-07,0.5709944043124218,-0.8642063227836128
2026072902,experimental_text_mined,205,1.4417766343303102,1.3265983063583016,-17.83225232375529,-0.2281657022264848,0.001000555376749092,0.5709944043124218,-1.5250276069981181
2026072902,calibrated_hse,205,0.6881365316173256,0.6012083641528345,-3.2899825612339972,0.024371824336028657,0.7286895806010943,0.5709944043124218,-0.2051545976986651
2026072902,support_weighted_fusion,205,1.438710086986518,1.3276851069632596,-17.75222803000036,-0.2103217058151498,0.002471044895453358,0.5709944043124218,-1.5196570686519761
2026072902,retrieval_routed_fusion,205,1.4742909040379508,1.3575511633722908,-18.691222095466745,-0.24305996891396786,0.0004453859407493972,0.5709944043124218,-1.581970844028249
2026072903,experimental_text_mined,205,1.2064042096859968,1.0979859130186895,-12.185359834590107,-0.22638066446201463,0.0010987589707594835,0.5709944043124218,-1.11281266606933
2026072903,calibrated_hse,205,0.8003469487033639,0.7432398514132612,-4.803137829159292,-0.24928496732132,0.00031279738464672676,0.5709944043124218,-0.40167214014491637
2026072903,support_weighted_fusion,205,1.19717232346273,1.0864130980857514,-11.98433269316097,-0.2810657855186614,4.460390855709684e-05,0.5709944043124218,-1.0966445807894338
2026072903,retrieval_routed_fusion,205,1.1889759089276564,1.0745044341508725,-11.807147415833644,-0.26358391812945303,0.00013419977988792108,0.5709944043124218,-1.0822899488120092
2026072904,experimental_text_mined,205,0.5865236628300474,0.3665027792118336,-2.116573507194691,0.2941705870963806,1.858551525015234e-05,0.5709944043124218,-0.027196866379672544
2026072904,calibrated_hse,205,0.6833432856341309,0.6248668936236235,-3.230426572879309,0.18745433557531718,0.007114718931296989,0.5709944043124218,-0.19676003910580717
2026072904,support_weighted_fusion,205,0.513387563206091,0.34442442836341164,-1.3877947106304176,0.3073770213964197,7.357699819802926e-06,0.5709944043124218,0.10088862635300178
2026072904,retrieval_routed_fusion,205,0.5701084225807852,0.3697097063036436,-1.9445654552244802,0.2831622503006404,3.88874707552596e-05,0.5709944043124218,0.0015516469600143341
2026072905,experimental_text_mined,205,0.33544077012189044,0.2222583553277844,-0.019384419336125447,0.537270038471852,9.960605289394235e-17,0.5709944043124218,0.41253229876075503
2026072905,calibrated_hse,205,0.5324132993319801,0.46400337833692845,-1.5680536300022556,0.1483998364402583,0.03370844489684999,0.5709944043124218,0.06756827157859825
2026072905,support_weighted_fusion,205,0.34209751387600573,0.2211970204217576,-0.06024475949298669,0.5466053040991425,2.288345805240759e-17,0.5709944043124218,0.4008741394095593
