target_salt,target_rows,source_rows,model,n,log_rmse,log_mae,log_r2,raw_rmse,raw_mae,raw_r2,spearman
LiPF6,4260,6128,full_mixture,4260,0.3641556482351783,0.31173376208978193,0.6746446875661312,3.5967704381997527,2.66935463303557,0.24361180446788533,0.9433234737695095
LiPF6,4260,6128,state_only,4260,0.42999689749497044,0.330623385422397,0.5463567579454455,3.5476770046683272,2.558028709068796,0.26411924000950315,0.8696335732013796
LiBOB,3210,7197,full_mixture,3210,0.25115446572387007,0.1918630952831252,0.7264856747605526,2.132648935349344,1.1699179914576134,0.6400044719806155,0.9052417240030778
LiBOB,3210,7197,state_only,3210,0.3080690918238505,0.23843791505851689,0.5884766099189509,2.6393107767049293,1.435834187033568,0.44863470371542424,0.8127026197597919
LiBF4,1561,8838,full_mixture,1561,0.3049437499970364,0.26420948149380485,0.4549085180600698,3.140738234933562,2.287734891471287,-1.779529553258918,0.9328170974193535
LiBF4,1561,8838,state_only,1561,0.2962058135295324,0.24672502121179313,0.4856993441583255,2.8576007910814223,1.9548369069706826,-1.3009698479942027,0.8939358492394845
LiTFSI,644,9763,full_mixture,644,0.4632708826876189,0.362835194808306,0.46368186105238596,4.4065587308688245,2.8039489896673415,0.44760101047560097,0.7775767264175493
LiTFSI,644,9763,state_only,644,0.6488597423168014,0.5054967229802627,-0.0520930098813801,6.237734396191756,4.202756286686937,-0.10689775557025305,0.34407577652341176
LiClO4,214,10193,full_mixture,214,0.2999354443818941,0.2392413417042412,0.7692880289633715,3.8193628312595465,3.058345505524744,0.6626538389514116,0.9211837800382782
LiClO4,214,10193,state_only,214,0.5439544656673435,0.3229908312830507,0.24117847656902736,6.451049927073173,3.5473488133751085,0.037601929311607885,0.6080703146520742
LiFSI,206,10182,full_mixture,206,0.27291318102104034,0.21381555936780602,0.6545909017365212,3.4918365495290575,2.2165573155701273,0.5206851222839803,0.8515028040277575
LiFSI,206,10182,state_only,206,0.5309943942043143,0.3889268560267593,-0.30756901976716366,4.867035260224644,3.35189619948919,0.06880189884749854,0.5739431278527004
LiTDI,97,10310,full_mixture,97,0.6570696262694659,0.6000203577189618,-1.9797565764600447,2.6712622034813824,1.9529024324224,-24.63436306879586,0.7677716088661104
LiTDI,97,10310,state_only,97,0.5649801075033527,0.46940015536057256,-1.2030498123576896,2.1495692724730886,1.3276796209496782,-15.599399731434612,0.6419246567919702
LiFSA,70,10337,full_mixture,70,1.2245980584990086,1.0473948508291655,-1.900034356016111,1.738541707581616,1.5671087980172005,-1.5043012381832908,0.3901248393830501
LiFSA,70,10337,state_only,70,1.7184332382606275,1.5397695674198018,-4.710594706258172,7.979139701962015,6.44528412533425,-51.750730525230566,0.04865843738279869
LiCF3SO3,69,10338,full_mixture,69,0.40716739457818674,0.37656271198076097,0.015127748279739839,5.214814119778691,4.18560297481048,-2.4015937505343095,0.9107416879795398
LiCF3SO3,69,10338,state_only,69,0.471970907053377,0.4145363733696328,-0.3233184679958574,5.256220502199281,4.276006140219517,-2.455826505145594,0.8313116550968215
