sample_key,material_key,material_raw,source_reference,n_temperature,temperature_min_K,temperature_max_K,temperature_harmonic_K,Ea_eV,lnA,arrhenius_r2,family
Ag:0.5333333333|Ga:0.02|Se:0.4|Sn:0.04666666667@@https://doi.org/10.1021/acsami.1c17548,Ag:0.5333333333|Ga:0.02|Se:0.4|Sn:0.04666666667,Ag8Sn0.7Ga0.3Se6,https://doi.org/10.1021/acsami.1c17548,7,313.0,694.0,503.9753322169684,0.3218245447784729,14.589087049808207,0.9035152674080302,Ag-Se
Ag:0.5333333333|Ga:0.03333333333|Se:0.4|Sn:0.03333333333@@https://doi.org/10.1021/acsami.1c17548,Ag:0.5333333333|Ga:0.03333333333|Se:0.4|Sn:0.03333333333,Ag8Sn0.5Ga0.5Se6,https://doi.org/10.1021/acsami.1c17548,7,313.0,732.0,504.2769645444493,0.3544706117597693,15.241955477487757,0.9546833512154141,Ag-Se
Ag:0.5333333333|Ge:0.06666666667|Te:0.4@@10.1002/pssr.200701302,Ag:0.5333333333|Ge:0.06666666667|Te:0.4,Ag8GeTe6,10.1002/pssr.200701302,5,329.0,703.0,476.400124423544,0.18567678807433285,10.983704463350248,0.9929250755813971,Ag-Te
Ag:0.5333333333|Se:0.4|Sn:0.06666666667@@https://doi.org/10.1021/acsami.1c17548,Ag:0.5333333333|Se:0.4|Sn:0.06666666667,Ag8SnSe6,https://doi.org/10.1021/acsami.1c17548,6,330.0,650.0,497.7344038692378,0.313884355448276,15.164778026778913,0.9225048034986445,Ag-Se
Al:0.1538461538|Ca:0.07615384615|Ge:0.01230769231|Sb:0.4492307692|Yb:0.3084615385@@https://doi.org/10.1021/acs.inorgchem.9b00181,Al:0.1538461538|Ca:0.07615384615|Ge:0.01230769231|Sb:0.4492307692|Yb:0.3084615385,Ca0.99Yb4.01Al2Sb5.84Ge0.16,https://doi.org/10.1021/acs.inorgchem.9b00181,7,304.0,661.0,460.7062367483372,0.08630863854600831,9.647963282926401,0.98780277926982,Al-Sb-Yb
Al:0.1538461538|Ca:0.1192307692|Sb:0.4615384615|Yb:0.2653846154@@https://doi.org/10.1021/acs.inorgchem.0c01944,Al:0.1538461538|Ca:0.1192307692|Sb:0.4615384615|Yb:0.2653846154,Ca1.55Yb3.45Al2Sb6,https://doi.org/10.1021/acs.inorgchem.0c01944,6,327.0,702.0,490.9642710377358,0.14675569661315396,10.25441304275454,0.9803907984268404,Al-Sb-Yb
Al:0.1538461538|Ca:0.2661538462|Pr:0.01461538462|Sb:0.4615384615|Yb:0.1038461538@@https://doi.org/10.1021/acs.chemmater.1c01318,Al:0.1538461538|Ca:0.2661538462|Pr:0.01461538462|Sb:0.4615384615|Yb:0.1038461538,Ca3.46Yb1.35Pr0.19Al2Sb6,https://doi.org/10.1021/acs.chemmater.1c01318,6,323.0,823.0,518.3398825062819,0.08948217706803441,8.890414190437653,0.9901097236144014,Al-Ca-Sb
As:0.3333333333|Co:0.3333333333|Sb:0.3333333333@@https://doi.org/10.1021/acs.chemmater.7b05170,As:0.3333333333|Co:0.3333333333|Sb:0.3333333333,CoAsSb,https://doi.org/10.1021/acs.chemmater.7b05170,8,350.0,900.0,532.0665083135392,0.09138465274123807,12.680779179066356,0.9801430084595525,As-Co-Sb
As:0.4|Se:0.02|Te:0.58@@https://doi.org/10.1021/acs.inorgchem.6b02930,As:0.4|Se:0.02|Te:0.58,As2Te2.9Se0.1,https://doi.org/10.1021/acs.inorgchem.6b02930,6,298.0,523.0,386.5251641862233,0.08946433436303748,9.741086577603141,0.9973260681023082,As-Te
As:0.4|Se:0.04|Te:0.56@@https://doi.org/10.1021/acs.inorgchem.6b02930,As:0.4|Se:0.04|Te:0.56,As2Te2.8Se0.2,https://doi.org/10.1021/acs.inorgchem.6b02930,6,298.0,523.0,386.5251641862233,0.07332507117697408,9.403843117068972,0.9892749653325519,As-Te
As:0.4|Se:0.08|Te:0.52@@https://doi.org/10.1021/acs.inorgchem.6b02930,As:0.4|Se:0.08|Te:0.52,As2Te2.6Se0.4,https://doi.org/10.1021/acs.inorgchem.6b02930,6,298.0,523.0,386.5251641862233,0.07956794195794249,9.645961580752797,0.974630480201872,As-Te
As:0.4|Se:0.14|Te:0.46@@https://doi.org/10.1021/acs.inorgchem.6b02930,As:0.4|Se:0.14|Te:0.46,As2Te2.3Se0.7,https://doi.org/10.1021/acs.inorgchem.6b02930,6,298.0,523.0,386.5251641862233,0.16707334949443836,10.159129829846854,0.9668208864855212,As-Te
As:0.4|Se:0.2|Te:0.4@@https://doi.org/10.1021/acs.inorgchem.6b02930,As:0.4|Se:0.2|Te:0.4,As2Te2Se,https://doi.org/10.1021/acs.inorgchem.6b02930,6,298.0,523.0,386.5251641862233,0.19213491382629774,9.163995356152153,0.9903415974682797,As-Se-Te
As:0.4|Se:0.3|Te:0.3@@https://doi.org/10.1021/acs.inorgchem.6b02930,As:0.4|Se:0.3|Te:0.3,As2Te1.5Se1.5,https://doi.org/10.1021/acs.inorgchem.6b02930,6,298.0,523.0,386.5251641862233,0.13047856507809474,6.730171929487023,0.995316146044568,As-Se-Te
As:0.4|Te:0.6@@https://doi.org/10.1021/acs.inorgchem.6b02930,As:0.4|Te:0.6,As2Te3,https://doi.org/10.1021/acs.inorgchem.6b02930,6,298.0,523.0,386.5251641862233,0.12544346164069545,10.19076774172925,0.9937891451618263,As-Te
Au:0.04584261321|Ge:0.8079064588|Rb:0.146250928@@https://doi.org/10.1021/ic3024315,Au:0.04584261321|Ge:0.8079064588|Rb:0.146250928,Rb7.88Au2.47Ge43.53,https://doi.org/10.1021/ic3024315,6,50.0,300.0,122.44897959183675,0.008784594698973726,6.491150466669132,0.9563203965945322,Ge
