scope,seed,policy,budget,candidate_n,true_top_n,auc20,first_hit,recall_at_10,best_y_at_10,regret_at_10,recall_at_20,best_y_at_20,regret_at_20,recall_at_40,best_y_at_40,regret_at_40
external_candidate,0,uniform_random,40,144,8,12.0,9,0.125,-2.1870866433571443,0.6342446746993635,0.125,-2.1870866433571443,0.6342446746993635,0.375,-2.000869458712629,0.4480274900548482
external_candidate,0,composition_novelty,40,144,8,0.0,41,0.0,-2.690369832574101,1.13752786391632,0.0,-2.690369832574101,1.13752786391632,0.0,-2.690369832574101,1.13752786391632
external_candidate,0,safe_target_novelty,40,144,8,4.0,17,0.0,-3.8538719643217614,2.3010299956639804,0.125,-1.5528419686577808,0.0,0.25,-1.5528419686577808,0.0
external_candidate,0,obelix_same_property_static,40,144,8,33.0,1,0.25,-1.5528419686577808,0.0,0.25,-1.5528419686577808,0.0,0.5,-1.5528419686577808,0.0
external_candidate,0,estm_transport_neighbor_static,40,144,8,45.0,5,0.375,-1.7212463990471711,0.16840443038939035,0.375,-1.7212463990471711,0.16840443038939035,0.75,-1.619788758288394,0.06694678963061329
external_candidate,0,borg_mechanical_static_control,40,144,8,0.0,41,0.0,-2.6989700043360187,1.146128035678238,0.0,-2.2494916051486538,0.696649636490873,0.0,-2.2494916051486538,0.696649636490873
external_candidate,0,ocx_catalysis_static_control,40,144,8,0.0,41,0.0,-2.958607314841775,1.4057653461839943,0.0,-2.958607314841775,1.4057653461839943,0.0,-2.2494916051486538,0.696649636490873
external_candidate,0,shuffled_obelix_static_control,40,144,8,0.0,27,0.0,-2.856985199745905,1.3041432310881242,0.0,-2.2494916051486538,0.696649636490873,0.375,-1.5528419686577808,0.0
external_candidate,0,safe_obelix_residual,40,144,8,0.0,27,0.0,-3.8538719643217614,2.3010299956639804,0.0,-3.0296531237699065,1.4768111551121257,0.25,-1.5528419686577808,0.0
external_candidate,0,safe_estm_residual,40,144,8,0.0,40,0.0,-4.070581074285707,2.5177391056279266,0.0,-2.690369832574101,1.13752786391632,0.125,-1.5528419686577808,0.0
external_candidate,0,safe_borg_residual_control,40,144,8,4.0,17,0.0,-3.8538719643217614,2.3010299956639804,0.125,-1.5528419686577808,0.0,0.25,-1.5528419686577808,0.0
external_candidate,0,safe_ocx_residual_control,40,144,8,2.0,19,0.0,-3.8538719643217614,2.3010299956639804,0.125,-1.5528419686577808,0.0,0.25,-1.5528419686577808,0.0
external_candidate,0,safe_shuffled_obelix_control,40,144,8,0.0,30,0.0,-3.8538719643217614,2.3010299956639804,0.0,-2.690369832574101,1.13752786391632,0.25,-1.5528419686577808,0.0
external_candidate,0,safe_multisource_residual,40,144,8,1.0,20,0.0,-4.070581074285707,2.5177391056279266,0.125,-1.5528419686577808,0.0,0.25,-1.5528419686577808,0.0
external_candidate,0,safe_multisource_novelty_band,40,144,8,0.0,38,0.0,-4.4388986163509445,2.886056647693164,0.0,-3.474955192963155,1.922113224305374,0.125,-1.5528419686577808,0.0
external_candidate,1,uniform_random,40,144,8,0.0,41,0.0,-2.690369832574101,1.13752786391632,0.0,-2.690369832574101,1.13752786391632,0.0,-2.3279021420642825,0.7750601734065017
external_candidate,1,composition_novelty,40,144,8,0.0,41,0.0,-2.690369832574101,1.13752786391632,0.0,-2.690369832574101,1.13752786391632,0.0,-2.690369832574101,1.13752786391632
external_candidate,1,safe_target_novelty,40,144,8,0.0,41,0.0,-3.0296531237699065,1.4768111551121257,0.0,-3.022733787572707,1.4698918189149264,0.0,-2.903089986991944,1.3502480183341634
external_candidate,1,obelix_same_property_static,40,144,8,33.0,1,0.25,-1.5528419686577808,0.0,0.25,-1.5528419686577808,0.0,0.5,-1.5528419686577808,0.0
external_candidate,1,estm_transport_neighbor_static,40,144,8,45.0,5,0.375,-1.7212463990471711,0.16840443038939035,0.375,-1.7212463990471711,0.16840443038939035,0.75,-1.619788758288394,0.06694678963061329
external_candidate,1,borg_mechanical_static_control,40,144,8,0.0,41,0.0,-2.6989700043360187,1.146128035678238,0.0,-2.2494916051486538,0.696649636490873,0.0,-2.2494916051486538,0.696649636490873
external_candidate,1,ocx_catalysis_static_control,40,144,8,0.0,41,0.0,-2.958607314841775,1.4057653461839943,0.0,-2.958607314841775,1.4057653461839943,0.0,-2.2494916051486538,0.696649636490873
external_candidate,1,shuffled_obelix_static_control,40,144,8,16.0,5,0.125,-2.1870866433571443,0.6342446746993635,0.125,-2.1870866433571443,0.6342446746993635,0.125,-2.1870866433571443,0.6342446746993635
external_candidate,1,safe_obelix_residual,40,144,8,0.0,41,0.0,-2.690369832574101,1.13752786391632,0.0,-2.690369832574101,1.13752786391632,0.0,-2.690369832574101,1.13752786391632
external_candidate,1,safe_estm_residual,40,144,8,0.0,41,0.0,-3.0296531237699065,1.4768111551121257,0.0,-3.022733787572707,1.4698918189149264,0.0,-2.903089986991944,1.3502480183341634
external_candidate,1,safe_borg_residual_control,40,144,8,0.0,41,0.0,-3.05453141486818,1.5016894462103993,0.0,-3.022733787572707,1.4698918189149264,0.0,-2.962573502059376,1.4097315334015954
external_candidate,1,safe_ocx_residual_control,40,144,8,0.0,41,0.0,-3.0296531237699065,1.4768111551121257,0.0,-3.022733787572707,1.4698918189149264,0.0,-2.903089986991944,1.3502480183341634
external_candidate,1,safe_shuffled_obelix_control,40,144,8,0.0,40,0.0,-3.0296531237699065,1.4768111551121257,0.0,-2.903089986991944,1.3502480183341634,0.125,-1.5528419686577808,0.0
external_candidate,1,safe_multisource_residual,40,144,8,0.0,41,0.0,-2.690369832574101,1.13752786391632,0.0,-2.690369832574101,1.13752786391632,0.0,-2.690369832574101,1.13752786391632
external_candidate,1,safe_multisource_novelty_band,40,144,8,0.0,41,0.0,-3.022733787572707,1.4698918189149264,0.0,-3.022733787572707,1.4698918189149264,0.0,-2.690369832574101,1.13752786391632
external_candidate,2,uniform_random,40,144,8,22.0,3,0.125,-2.2006594505464183,0.6478174818886375,0.25,-1.7212463990471711,0.16840443038939035,0.25,-1.7212463990471711,0.16840443038939035
external_candidate,2,composition_novelty,40,144,8,0.0,41,0.0,-2.690369832574101,1.13752786391632,0.0,-2.690369832574101,1.13752786391632,0.0,-2.690369832574101,1.13752786391632
external_candidate,2,safe_target_novelty,40,144,8,0.0,41,0.0,-2.690369832574101,1.13752786391632,0.0,-2.690369832574101,1.13752786391632,0.0,-2.2992962828549808,0.7464543141972
external_candidate,2,obelix_same_property_static,40,144,8,33.0,1,0.25,-1.5528419686577808,0.0,0.25,-1.5528419686577808,0.0,0.5,-1.5528419686577808,0.0
external_candidate,2,estm_transport_neighbor_static,40,144,8,45.0,5,0.375,-1.7212463990471711,0.16840443038939035,0.375,-1.7212463990471711,0.16840443038939035,0.75,-1.619788758288394,0.06694678963061329
external_candidate,2,borg_mechanical_static_control,40,144,8,0.0,41,0.0,-2.6989700043360187,1.146128035678238,0.0,-2.2494916051486538,0.696649636490873,0.0,-2.2494916051486538,0.696649636490873
external_candidate,2,ocx_catalysis_static_control,40,144,8,0.0,41,0.0,-2.958607314841775,1.4057653461839943,0.0,-2.958607314841775,1.4057653461839943,0.0,-2.2494916051486538,0.696649636490873
external_candidate,2,shuffled_obelix_static_control,40,144,8,0.0,33,0.0,-2.958607314841775,1.4057653461839943,0.0,-2.4989407377822483,0.9460987691244676,0.125,-2.2006594505464183,0.6478174818886375
external_candidate,2,safe_obelix_residual,40,144,8,0.0,41,0.0,-2.690369832574101,1.13752786391632,0.0,-2.2992962828549808,0.7464543141972,0.0,-2.2992962828549808,0.7464543141972
external_candidate,2,safe_estm_residual,40,144,8,0.0,41,0.0,-2.690369832574101,1.13752786391632,0.0,-2.690369832574101,1.13752786391632,0.0,-2.2992962828549808,0.7464543141972
external_candidate,2,safe_borg_residual_control,40,144,8,0.0,41,0.0,-2.690369832574101,1.13752786391632,0.0,-2.690369832574101,1.13752786391632,0.0,-2.2992962828549808,0.7464543141972
external_candidate,2,safe_ocx_residual_control,40,144,8,0.0,41,0.0,-2.690369832574101,1.13752786391632,0.0,-2.690369832574101,1.13752786391632,0.0,-2.2992962828549808,0.7464543141972
external_candidate,2,safe_shuffled_obelix_control,40,144,8,0.0,41,0.0,-2.690369832574101,1.13752786391632,0.0,-2.690369832574101,1.13752786391632,0.0,-2.2992962828549808,0.7464543141972
external_candidate,2,safe_multisource_residual,40,144,8,0.0,41,0.0,-2.690369832574101,1.13752786391632,0.0,-2.690369832574101,1.13752786391632,0.0,-2.2992962828549808,0.7464543141972
external_candidate,2,safe_multisource_novelty_band,40,144,8,0.0,41,0.0,-3.0296531237699065,1.4768111551121257,0.0,-2.690369832574101,1.13752786391632,0.0,-2.2992962828549808,0.7464543141972
external_candidate,3,uniform_random,40,144,8,12.0,9,0.125,-1.5528419686577808,0.0,0.125,-1.5528419686577808,0.0,0.25,-1.5528419686577808,0.0
external_candidate,3,composition_novelty,40,144,8,0.0,41,0.0,-2.690369832574101,1.13752786391632,0.0,-2.690369832574101,1.13752786391632,0.0,-2.690369832574101,1.13752786391632
external_candidate,3,safe_target_novelty,40,144,8,0.0,41,0.0,-2.690369832574101,1.13752786391632,0.0,-2.690369832574101,1.13752786391632,0.0,-2.690369832574101,1.13752786391632
external_candidate,3,obelix_same_property_static,40,144,8,33.0,1,0.25,-1.5528419686577808,0.0,0.25,-1.5528419686577808,0.0,0.5,-1.5528419686577808,0.0
external_candidate,3,estm_transport_neighbor_static,40,144,8,45.0,5,0.375,-1.7212463990471711,0.16840443038939035,0.375,-1.7212463990471711,0.16840443038939035,0.75,-1.619788758288394,0.06694678963061329
external_candidate,3,borg_mechanical_static_control,40,144,8,0.0,41,0.0,-2.6989700043360187,1.146128035678238,0.0,-2.2494916051486538,0.696649636490873,0.0,-2.2494916051486538,0.696649636490873
external_candidate,3,ocx_catalysis_static_control,40,144,8,0.0,41,0.0,-2.958607314841775,1.4057653461839943,0.0,-2.958607314841775,1.4057653461839943,0.0,-2.2494916051486538,0.696649636490873
external_candidate,3,shuffled_obelix_static_control,40,144,8,17.0,4,0.125,-1.769551078621726,0.2167091099639451,0.125,-1.769551078621726,0.2167091099639451,0.125,-1.769551078621726,0.2167091099639451
external_candidate,3,safe_obelix_residual,40,144,8,0.0,41,0.0,-2.690369832574101,1.13752786391632,0.0,-2.690369832574101,1.13752786391632,0.0,-2.690369832574101,1.13752786391632
external_candidate,3,safe_estm_residual,40,144,8,0.0,41,0.0,-2.690369832574101,1.13752786391632,0.0,-2.690369832574101,1.13752786391632,0.0,-2.690369832574101,1.13752786391632
external_candidate,3,safe_borg_residual_control,40,144,8,0.0,41,0.0,-2.690369832574101,1.13752786391632,0.0,-2.690369832574101,1.13752786391632,0.0,-2.690369832574101,1.13752786391632
external_candidate,3,safe_ocx_residual_control,40,144,8,0.0,41,0.0,-2.690369832574101,1.13752786391632,0.0,-2.690369832574101,1.13752786391632,0.0,-2.690369832574101,1.13752786391632
external_candidate,3,safe_shuffled_obelix_control,40,144,8,0.0,41,0.0,-2.690369832574101,1.13752786391632,0.0,-2.690369832574101,1.13752786391632,0.0,-2.690369832574101,1.13752786391632
external_candidate,3,safe_multisource_residual,40,144,8,0.0,41,0.0,-2.903089986991944,1.3502480183341634,0.0,-2.903089986991944,1.3502480183341634,0.0,-2.903089986991944,1.3502480183341634
external_candidate,3,safe_multisource_novelty_band,40,144,8,0.0,41,0.0,-2.690369832574101,1.13752786391632,0.0,-2.690369832574101,1.13752786391632,0.0,-2.690369832574101,1.13752786391632
