n_systems,n_dois,intercept,slope,slope_se_hc3,slope_ci_lo,slope_ci_hi,p_hc3,r2,T_iso_K,temperature_harmonic_median_K,temperature_min_K,temperature_max_K,T_iso_relative_to_harmonic,adsorbate_name,p_holm,z_difference_from_pooled,p_difference_from_pooled,p_difference_from_pooled_holm
15,15,1.661559718351921,0.405906282404763,0.2713887727199555,-0.1803935158953329,0.9922060807048592,0.1586179351185218,0.6228648142228165,296.305724390815,196.81843195702373,55.0,800.0,1.5054775177535953,Argon,0.4758538053555654,0.6318142182450471,0.5275082817271975,1.0
377,258,1.203694371129996,0.3106921178174844,0.0145923462044012,0.2819990392058237,0.3393851964291451,1.6320913063249086e-66,0.6646072745482153,387.1110599380569,296.5985018078386,30.0,598.0,1.3051686288990765,Carbon Dioxide,2.611346090119854e-65,4.630393703574972,3.6497110843562442e-06,5.839537734969991e-05
26,20,0.6458328064828291,0.3524265813635576,0.0520704660773748,0.2449584213231628,0.4598947414039523,5.320867584442228e-07,0.8813593973912224,341.2692498317969,307.9707413962868,139.0,573.0,1.1081223115044645,Carbon monoxide,5.320867584442229e-06,2.243065545177664,0.024892588105482876,0.2987110572657945
30,26,-1.2968350529525998,0.3637113752149599,0.0428993210015312,0.2758360996972565,0.4515866507326633,3.2203585529500964e-09,0.507368921242829,330.6807629308898,313.4810709293274,91.0,673.0,1.0548667642054852,Ethane,3.5423944082451076e-08,2.967986904863181,0.002997571009692383,0.04196599413569336
30,27,2.8432066675229577,0.2154747576141878,0.0528517309272087,0.1072128945266528,0.3237366207017229,0.0003417364331332,0.3624041241650775,558.1737572160366,302.22877838701095,104.0,673.0,1.8468583971222032,Ethene,0.0020504185987994,-0.35382497172936284,0.723470057818684,1.0
54,45,3.18180825520637,0.3220151120505394,0.0402177473388206,0.2413122978463167,0.4027179262547621,1.2420044093903975e-10,0.4990234895594321,373.4991015696482,136.3203295442368,20.0,425.0,2.739863546533207,Hydrogen,1.6146057322075164e-09,2.140721973777456,0.032296465410786124,0.35526111951864736
9,9,-1.2064202873212544,0.2994629644437402,0.0481180584133248,0.185681836580034,0.4132440923074463,0.0004351908739317,0.8861834864514194,401.6268097329996,328.49190727293245,283.0,423.0,1.222638368985151,Isobutane,0.0021759543696585,1.3359221595053534,0.18157471716399565,1.0
11,9,-2.714272718282713,0.5865860063327187,0.5946496311726394,-0.758604916179778,1.931776928845216,0.3496927269096905,0.5646212842502458,205.03788659169976,234.46731281615632,87.0,450.0,0.8744838848921687,Krypton,0.699385453819381,0.5922582045535695,0.5536776989528375,1.0
190,127,2.8406691273112017,0.264023391918938,0.0282375519600192,0.2083202266432297,0.3197265571946464,2.6263522001891458e-17,0.427164663643429,455.5367392585152,296.5985018078386,78.0,573.0,1.5358699942242129,Methane,3.676893080264804e-16,1.013449615051975,0.31084545095299787,1.0
34,29,-0.6321378321856306,0.3088250341545915,0.0574239332765684,0.1918563097509212,0.4257937585582618,6.614339860150119e-06,0.8138346482375984,389.45144253597056,324.24470045531496,273.0,473.0,1.201103493716598,N-propane,5.952905874135106e-05,1.2851775467307993,0.19873024796475247,1.0
124,86,0.6075407724167061,0.3314648690997433,0.0280406430933901,0.2759556154393809,0.3869741227601057,5.8846746526301225e-22,0.6559368422659442,362.8509874044422,307.5938131391192,60.0,473.0,1.1796433215005244,Nitrogen,8.827011978945182e-21,3.340101465088617,0.0008374778609037187,0.01256216791355578
20,17,3.3497222376035016,0.1354011856480464,0.1957959209298828,-0.2759507800228358,0.5467531513189288,0.4980481126670208,0.5365820465566358,888.2666312491134,302.23983054525206,77.0,873.0,2.938946298529373,Oxygen,0.699385453819381,-0.505085626591443,0.6134986962645498,1.0
22,20,1.2226689963002644,0.244893107877618,0.0473312554450884,0.1461618391059602,0.3436243766492758,4.612951351214952e-05,0.7210019688958187,491.1218453025248,346.86490111338856,273.0,423.0,1.4158879832640645,Propene,0.000322906594585,0.21945694004971428,0.8262941191205592,1.0
15,6,1.2246880559912068,0.2969592503596719,0.0476090545846155,0.1941061410712423,0.3998123596481016,3.031837495287255e-05,0.7332907338256931,405.0129938604513,307.7834737004908,273.0,408.0,1.315902341964521,Sulfur Hexafluoride,0.0002425469996229,1.2979254552542578,0.19431295192982312,1.0
20,14,-1.6524651905201302,0.3108467744074183,0.0261638043600837,0.2558786611707638,0.3658148876440728,5.925418852729221e-10,0.8804719851780197,386.9184593342068,322.1733501393212,273.0,413.0,1.200963578045444,Water,7.110502623275064e-09,2.8050936585141564,0.0050301961009127875,0.06539254931186624
16,8,-0.029724948039826,0.3660507864257241,0.0881230991272658,0.1770455365195033,0.5550560363319448,0.0009742171472698,0.9234176460731188,328.5673996690913,257.47860515342165,90.0,323.0,1.2760959283328048,Xenon,0.0038968685890795,1.488655268898803,0.13657816966091496,1.0
