scope,seed,policy,cumulative_hit_auc_to_40,top5_hits_at_5,top5_recall_at_5,best_y_at_5,regret_to_pool_max_at_5,top5_hits_at_10,top5_recall_at_10,best_y_at_10,regret_to_pool_max_at_10,top5_hits_at_20,top5_recall_at_20,best_y_at_20,regret_to_pool_max_at_20,top5_hits_at_40,top5_recall_at_40,best_y_at_40,regret_to_pool_max_at_40
official_test,0,uniform_random,0.0,0,0.0,-2.795880017344075,1.1938200260161127,0,0.0,-2.795880017344075,1.1938200260161127,0,0.0,-2.795880017344075,1.1938200260161127,0,0.0,-2.795880017344075,1.1938200260161127
official_test,0,target_ucb_beta1,55.0,0,0.0,-2.8210230527068307,1.2189630613788685,0,0.0,-2.8210230527068307,1.2189630613788685,1,0.16666666666666666,-1.6020599913279625,2.220446049250313e-16,3,0.5,-1.6020599913279625,2.220446049250313e-16
official_test,0,target_mean_greedy,72.0,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,2,0.3333333333333333,-2.690369832574101,1.0883098412461385,2,0.3333333333333333,-2.690369832574101,1.0883098412461385,2,0.3333333333333333,-2.690369832574101,1.0883098412461385
official_test,0,composition_novelty,122.0,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,4,0.6666666666666666,-2.065501548756432,0.4634415574284698,5,0.8333333333333334,-1.6020599913279625,2.220446049250313e-16
official_test,0,thermoelectric_prior_static,128.0,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,4,0.6666666666666666,-2.065501548756432,0.4634415574284698,6,1.0,-1.6020599913279625,2.220446049250313e-16
official_test,0,target_source_rank_fusion,83.0,2,0.3333333333333333,-2.690369832574101,1.0883098412461385,2,0.3333333333333333,-2.690369832574101,1.0883098412461385,2,0.3333333333333333,-2.690369832574101,1.0883098412461385,4,0.6666666666666666,-2.065501548756432,0.4634415574284698
official_test,0,target_source_novelty_rank_fusion,139.0,2,0.3333333333333333,-2.690369832574101,1.0883098412461385,3,0.5,-2.065501548756432,0.4634415574284698,3,0.5,-2.065501548756432,0.4634415574284698,5,0.8333333333333334,-2.065501548756432,0.4634415574284698
official_test,0,alloy_prior_static_control,18.0,0,0.0,-2.744727494896694,1.1426675035687317,0,0.0,-2.744727494896694,1.1426675035687317,0,0.0,-2.744727494896694,1.1426675035687317,1,0.16666666666666666,-2.7166987712964503,1.114638779968488
official_test,0,catalysis_prior_static_control,97.0,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,2,0.3333333333333333,-2.657577319177794,1.0555173278498315,5,0.8333333333333334,-1.6020599913279625,2.220446049250313e-16
official_test,0,shuffled_thermoelectric_static_control,37.0,0,0.0,-2.987445420464013,1.3853854291360508,0,0.0,-2.987445420464013,1.3853854291360508,0,0.0,-2.8601209135987635,1.2580609222708012,2,0.3333333333333333,-2.657577319177794,1.0555173278498315
official_test,1,uniform_random,30.0,0,0.0,-2.892790030352132,1.2907300390241698,0,0.0,-2.892790030352132,1.2907300390241698,1,0.16666666666666666,-1.6020599913279625,2.220446049250313e-16,2,0.3333333333333333,-1.6020599913279625,2.220446049250313e-16
official_test,1,target_ucb_beta1,107.0,2,0.3333333333333333,-2.065501548756432,0.4634415574284698,2,0.3333333333333333,-2.065501548756432,0.4634415574284698,3,0.5,-2.065501548756432,0.4634415574284698,5,0.8333333333333334,-2.065501548756432,0.4634415574284698
official_test,1,target_mean_greedy,134.0,2,0.3333333333333333,-2.065501548756432,0.4634415574284698,3,0.5,-2.065501548756432,0.4634415574284698,3,0.5,-2.065501548756432,0.4634415574284698,5,0.8333333333333334,-2.065501548756432,0.4634415574284698
official_test,1,composition_novelty,58.0,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,2,0.3333333333333333,-2.690369832574101,1.0883098412461385
official_test,1,thermoelectric_prior_static,128.0,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,4,0.6666666666666666,-2.065501548756432,0.4634415574284698,6,1.0,-1.6020599913279625,2.220446049250313e-16
official_test,1,target_source_rank_fusion,156.0,2,0.3333333333333333,-2.065501548756432,0.4634415574284698,2,0.3333333333333333,-2.065501548756432,0.4634415574284698,4,0.6666666666666666,-2.065501548756432,0.4634415574284698,5,0.8333333333333334,-2.065501548756432,0.4634415574284698
official_test,1,target_source_novelty_rank_fusion,157.0,2,0.3333333333333333,-2.065501548756432,0.4634415574284698,3,0.5,-2.065501548756432,0.4634415574284698,5,0.8333333333333334,-2.065501548756432,0.4634415574284698,5,0.8333333333333334,-2.065501548756432,0.4634415574284698
official_test,1,alloy_prior_static_control,18.0,0,0.0,-2.744727494896694,1.1426675035687317,0,0.0,-2.744727494896694,1.1426675035687317,0,0.0,-2.744727494896694,1.1426675035687317,1,0.16666666666666666,-2.7166987712964503,1.114638779968488
official_test,1,catalysis_prior_static_control,97.0,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,2,0.3333333333333333,-2.657577319177794,1.0555173278498315,5,0.8333333333333334,-1.6020599913279625,2.220446049250313e-16
official_test,1,shuffled_thermoelectric_static_control,37.0,0,0.0,-2.987445420464013,1.3853854291360508,0,0.0,-2.987445420464013,1.3853854291360508,0,0.0,-2.8601209135987635,1.2580609222708012,2,0.3333333333333333,-2.657577319177794,1.0555173278498315
official_test,2,uniform_random,34.0,0,0.0,-2.8601209135987635,1.2580609222708012,0,0.0,-2.8601209135987635,1.2580609222708012,1,0.16666666666666666,-2.690369832574101,1.0883098412461385,2,0.3333333333333333,-2.657577319177794,1.0555173278498315
official_test,2,target_ucb_beta1,115.0,1,0.16666666666666666,-2.065501548756432,0.4634415574284698,2,0.3333333333333333,-2.065501548756432,0.4634415574284698,3,0.5,-2.065501548756432,0.4634415574284698,4,0.6666666666666666,-2.065501548756432,0.4634415574284698
official_test,2,target_mean_greedy,93.0,2,0.3333333333333333,-2.065501548756432,0.4634415574284698,2,0.3333333333333333,-2.065501548756432,0.4634415574284698,2,0.3333333333333333,-2.065501548756432,0.4634415574284698,3,0.5,-2.065501548756432,0.4634415574284698
official_test,2,composition_novelty,107.0,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,3,0.5,-1.6020599913279625,2.220446049250313e-16,4,0.6666666666666666,-1.6020599913279625,2.220446049250313e-16
official_test,2,thermoelectric_prior_static,128.0,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,4,0.6666666666666666,-2.065501548756432,0.4634415574284698,6,1.0,-1.6020599913279625,2.220446049250313e-16
official_test,2,target_source_rank_fusion,125.0,2,0.3333333333333333,-2.065501548756432,0.4634415574284698,2,0.3333333333333333,-2.065501548756432,0.4634415574284698,2,0.3333333333333333,-2.065501548756432,0.4634415574284698,5,0.8333333333333334,-2.065501548756432,0.4634415574284698
official_test,2,target_source_novelty_rank_fusion,129.0,2,0.3333333333333333,-2.065501548756432,0.4634415574284698,2,0.3333333333333333,-2.065501548756432,0.4634415574284698,3,0.5,-2.065501548756432,0.4634415574284698,6,1.0,-1.6020599913279625,2.220446049250313e-16
official_test,2,alloy_prior_static_control,18.0,0,0.0,-2.744727494896694,1.1426675035687317,0,0.0,-2.744727494896694,1.1426675035687317,0,0.0,-2.744727494896694,1.1426675035687317,1,0.16666666666666666,-2.7166987712964503,1.114638779968488
official_test,2,catalysis_prior_static_control,97.0,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,2,0.3333333333333333,-2.657577319177794,1.0555173278498315,5,0.8333333333333334,-1.6020599913279625,2.220446049250313e-16
