source,repeats,train_n_median,test_n,delta_r2_mean,delta_r2_lo,delta_r2_hi,delta_rmse_mean
Alloy yield strength,60,30.0,81,0.0310595314031844,-0.9138369323497185,0.8112209759545893,0.04461843542634373
CO2R H2 Faradaic efficiency,60,30.0,81,0.2580821628412232,-0.24754112430726155,2.2521945581749288,0.19254292299982737
Thermoelectric ZT,60,30.0,81,-0.0825561610006151,-0.7721251146764279,0.19620120522533743,-0.03373144477049562
