family,n,slope,r2,T_iso_K
Ag-Se,13,6.872391661291526,0.5632731357234295,1688.6358487408072
Ag-Bi-Se,9,16.44808436381987,0.5196797849433454,705.5512769238464
Co-Li-O,8,6.267964411511541,0.4741005346673426,1851.47300845087
