,TE:ZT,Cat:FE_H2,Alloy:YS,SE:sigma,Mol:logS,Mol:pKa,Mol:dGhyd,Mol:lambda,Poly:Tg
TE:ZT,,0.0215399562228015,-0.0011529524359657206,0.014708907503357321,0.007330822588679897,0.005683708312108876,0.00366607316879905,0.027755872656125613,0.02270963261352757
Cat:FE_H2,-0.009067171611792324,,-0.047628686134157494,-0.02766440130799208,-0.009824722928966884,0.00042565157650772956,0.00042565157650772956,0.0004256515765077573,0.00042565157650772956
Alloy:YS,-0.016785968904989373,-0.003935179223743895,,0.026887848717707552,-0.0055237463359578964,0.0022756654316744007,-0.0046284240005484145,0.0022756654316744007,-0.0010186568208249702
SE:sigma,0.08938106008647587,-0.004677713813363987,0.041183203468013824,,0.009905224422137093,0.019738293326869938,-0.006869999464182597,-0.0025139306287989827,0.005538904608815454
Mol:logS,-0.002802788036406295,-0.0032359290038757316,-0.0066468997491677395,-0.01801000457343707,,-0.008125140096271938,0.0019170522816586433,-0.008733355922957181,0.006843942041963674
Mol:pKa,-0.0077955958031304395,-0.00011952954818961192,-0.0016833309105682148,-0.006369285630291044,0.012733579323546462,,-0.003940356505923531,-0.03495197478656789,0.015578620962975631
Mol:dGhyd,,,,,,,,,
Mol:lambda,-0.0476038459563394,0.009433087461207385,0.009433087461207385,-0.006049773519056917,0.017841152589331777,0.011401002152603673,0.007120414944910475,,-0.01891338952403518
Poly:Tg,-0.000213444692599013,0.001177449596173441,0.0006804828436925148,-0.0005745115889078112,-0.012944954554141075,0.018858533018696194,-0.022542306938673207,0.0037182582649352147,
