panel,model,anchor_budget,estimate,ci95_low,ci95_high,programme
b,ridge_alpha_100,5.0,0.06864039228178738,-0.4679907272497853,0.615182985281816,
b,ridge_alpha_10,5.0,0.1618917253235205,-0.4419800405564538,0.5615485460537062,
b,knn_1,5.0,0.19150927483726174,-0.4037557677285978,0.4569626195654098,
b,ridge_alpha_1,5.0,0.21733537443069498,-0.4512551691447735,0.5304970286058531,
b,knn_3,5.0,0.235800380967847,-0.3326948297984256,0.6351446750697215,
b,ridge_alpha_0.1,5.0,0.23717205812051403,-0.4495664908420088,0.6315152769264659,
b,knn_5,5.0,0.2935039373312561,-0.3437846574583731,0.5849380007546864,
b,extra_trees,5.0,0.34947859593362324,-0.18611559383309836,0.6597741741363139,
b,random_forest,5.0,0.3772970883668284,-0.11668593462946247,0.692100221818915,
b,recipient_rank_ensemble,5.0,0.41181333490611904,-0.11687336156483154,0.6852757369234388,
b,rbf_kernel_ridge_alpha_1,5.0,0.5021389948037398,-0.0691601979520363,0.7285210239664796,
b,rbf_kernel_ridge_alpha_0.1,5.0,0.5196410165226898,0.1163423738143585,0.7252747289605677,
b,rbf_kernel_ridge_alpha_10,5.0,0.5366383640583348,0.34805424110745287,0.7034479317934891,
b,recipient_oracle,5.0,0.6104440497868261,0.3706182727980814,0.7329468733689496,
b,programme_balanced_source_portfolio,5.0,0.9102998261437779,0.8926303100106847,0.9263131411123982,
c,programme_balanced_source_portfolio,3.0,0.9114394873887137,0.8942926412104075,0.9270493890476792,
c,programme_balanced_source_portfolio,5.0,0.9102998261437779,0.8926303100106847,0.9263131411123982,
c,programme_balanced_source_portfolio,10.0,0.897167184222806,0.8798085271345815,0.9299025610347819,
c,rbf_kernel_ridge_alpha_10,3.0,0.44275624390991825,-0.3295729935464256,0.6427676131742156,
c,rbf_kernel_ridge_alpha_10,5.0,0.5366383640583348,0.34805424110745287,0.7034479317934891,
c,rbf_kernel_ridge_alpha_10,10.0,0.6519430760613334,0.5345187289610484,0.7528728302754294,
c,recipient_rank_ensemble,3.0,0.34671425281192486,-0.3500752080410036,0.5919417516296173,
c,recipient_rank_ensemble,5.0,0.41181333490611904,-0.11687336156483154,0.6852757369234388,
c,recipient_rank_ensemble,10.0,0.562915759584965,0.32889383281165835,0.7316062625456542,
d,donor,,0.91,,,SolventSeg
d,recipient,,0.537,,,SolventSeg
d,donor,,0.6938775510204082,,,FINALES
d,recipient,,0.782608695652174,,,FINALES
